El Catálogo Nacional de Códigos Postales, es elaborado por Correos de México y se proporciona en forma gratuita para uso particular, no estando permitida su comercialización, total o parcial, ni su distribución a terceros bajo ningún concepto.
d_codigo|d_asenta|d_tipo_asenta|D_mnpio|d_estado|d_ciudad|d_CP|c_estado|c_oficina|c_CP|c_tipo_asenta|c_mnpio|id_asenta_cpcons|d_zona|c_cve_ciudad
01160|Isidro Fabela|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01131|09|01131||09|010|0067|Urbano|01
01160|Maria G. de García Ruiz|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01131|09|01131||09|010|0068|Urbano|01
01160|1a Victoria|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01131|09|01131||09|010|0069|Urbano|01
01170|Abraham M. González|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01131|09|01131||09|010|0074|Urbano|01
01180|Carola|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01131|09|01131||09|010|0076|Urbano|01
01180|8 de Agosto|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01131|09|01131||09|010|0077|Urbano|01
01180|San Pedro de los Pinos|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01131|09|01131||09|010|0078|Urbano|01
01200|Arturo Martínez|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0079|Urbano|01
01210|Santa Fe|Pueblo|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||28|010|0082|Urbano|01
01219|Lomas de Santa Fe|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0084|Urbano|01
01220|La Estrella|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|2681|Urbano|01
01220|Bonanza|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0085|Urbano|01
01220|Cuevitas|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0086|Urbano|01
01220|El Cuernito|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0087|Urbano|01
01220|Mártires de Tacubaya|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0089|Urbano|01
01220|Zenón Delgado|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0090|Urbano|01
01230|Campo de Tiro los Gamitos|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0092|Urbano|01
01230|Los Gamitos|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0097|Urbano|01
01230|Tlapechico|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0098|Urbano|01
01230|El Piru Santa Fe|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0132|Urbano|01
01230|El Piru 2a Ampliación|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0224|Urbano|01
01239|La Huerta|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0102|Urbano|01
01240|Pueblo Nuevo|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0103|Urbano|01
01250|El Árbol|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0104|Urbano|01
01250|Ladera|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0105|Urbano|01
01250|Lomas de Nuevo México|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0106|Urbano|01
01250|Margarita Maza de Juárez|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0107|Urbano|01
01250|Tecolalco|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0108|Urbano|01
01259|Ampliación La Cebada|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0109|Urbano|01
01259|La Mexicana 2a Ampliación|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|2845|Urbano|01
01260|Calzada Jalalpa|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0110|Urbano|01
01260|La Mexicana|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0112|Urbano|01
01260|Ampliación La Mexicana|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0113|Urbano|01
01260|La Palmita|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0114|Urbano|01
01260|Liberación Proletaria|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0115|Urbano|01
01269|1a Sección Cañada|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0117|Urbano|01
01269|2a Sección Cañada|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0118|Urbano|01
01270|El Tejocote|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0120|Urbano|01
01270|La Presa|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0121|Urbano|01
01270|Golondrinas|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0123|Urbano|01
01270|Golondrinas 1a Sección|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0124|Urbano|01
01270|Golondrinas 2a Sección|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0125|Urbano|01
01270|Lomas de Capula|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0127|Urbano|01
01275|Villa Solidaridad|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0131|Urbano|01
01276|El Pirul|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0093|Urbano|01
01278|Desarrollo Urbano|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0133|Urbano|01
01279|Lomas de Becerra|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0136|Urbano|01
01280|Arvide|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0138|Urbano|01
01280|El Pocito|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0139|Urbano|01
01280|Francisco Villa|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0140|Urbano|01
01280|La Joya|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0141|Urbano|01
01285|El Rodeo|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0144|Urbano|01
01289|Reacomodo El Cuernito|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0146|Urbano|01
01290|Piloto Adolfo López Mateos|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0147|Urbano|01
01290|Presidentes|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0148|Urbano|01
01296|Jalalpa Tepito 2a Ampliación|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0152|Urbano|01
01296|Ampliación Jalalpa|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0153|Urbano|01
01296|Jalalpa Tepito|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0154|Urbano|01
01298|Ampliación Piloto Adolfo López Mateos|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0156|Urbano|01
01299|1a Ampliación Presidentes|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0160|Urbano|01
01299|2a Ampliación Presidentes|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0161|Urbano|01
01310|San Gabriel|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0163|Urbano|01
01320|Carlos A. Madrazo|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0164|Urbano|01
01330|Paseo de las Lomas|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0168|Urbano|01
01340|Bejero del Pueblo Santa Fe|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0170|Urbano|01
01376|Santa Fe|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0171|Urbano|01
01376|Santa Fe Peña Blanca|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|2682|Urbano|01
01376|Santa Fe La Loma|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|2683|Urbano|01
01376|Santa Fe Centro Ciudad|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|2864|Urbano|01
01377|Jalalpa El Grande|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0172|Urbano|01
01389|Santa Fe Tlayapaca|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0176|Urbano|01
01400|Olivar del Conde 1a Sección|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0181|Urbano|01
01400|Preconcreto|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0184|Urbano|01
01407|Galeana|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0187|Urbano|01
01408|Olivar del Conde 2a Sección|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0188|Urbano|01
01410|Barrio Norte|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0193|Urbano|01
01410|Palmas|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0194|Urbano|01
01419|Minas Cristo Rey|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0195|Urbano|01
01420|Sacramento|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0196|Urbano|01
01420|Santa María Nonoalco|Barrio|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||02|010|0197|Urbano|01
01430|Colina del Sur|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0198|Urbano|01
01450|Hogar y Redención|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0202|Urbano|01
01460|Alfonso XIII|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0204|Urbano|01
01470|Alfalfar|Barrio|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||02|010|0206|Urbano|01
01470|Molino de Rosas|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0207|Urbano|01
01480|Lomas de Plateros|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0209|Urbano|01
01490|La Cascada|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0211|Urbano|01
01500|Santa Lucía|Pueblo|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||28|010|0213|Urbano|01
01500|Miguel Gaona Armenta|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|2704|Urbano|01
01509|Santa Lucía Chantepec|Pueblo|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||28|010|0221|Urbano|01
01510|Garcimarrero|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0222|Urbano|01
01510|La Araña|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0223|Urbano|01
01510|Los Cedros|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|2636|Urbano|01
01520|Ampliación Los Pirules|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0094|Urbano|01
01520|Estado de Hidalgo|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0225|Urbano|01
01520|Ampliación Estado de Hidalgo|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0226|Urbano|01
01520|Piru Santa Lucía|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0227|Urbano|01
01520|El Politoco|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|2841|Urbano|01
01530|Corpus Christy|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0229|Urbano|01
01538|Tepopotla|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0232|Urbano|01
01539|Acuilotla|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0233|Urbano|01
01539|Cooperativa Unión Olivos|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|2643|Urbano|01
01540|Balcones de Cehuayo|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0238|Urbano|01
01540|Cehuaya|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0239|Urbano|01
01540|Llano Redondo|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0240|Urbano|01
01540|Punta de Cehuaya|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0241|Urbano|01
01548|Villa Progresista|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|2638|Urbano|01
01549|Dos Ríos del Pueblo Santa Lucía|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0243|Urbano|01
01550|Tepeaca|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0245|Urbano|01
01550|Ampliación Tepeaca|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0246|Urbano|01
01550|Rinconada Las Cuevitas|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|2849|Urbano|01
01560|Ave Real|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0248|Urbano|01
01560|Canutillo|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0249|Urbano|01
01560|Canutillo 3a Sección|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0250|Urbano|01
01560|Canutillo 2a Sección|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0251|Urbano|01
01566|Hueytlale|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|2747|Urbano|01
01569|Reacomodo Valentín Gómez Farías|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0255|Urbano|01
01588|Tarango|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0259|Urbano|01
01590|El Rincón|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0261|Urbano|01
01600|Merced Gómez|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0263|Urbano|01
01610|Colinas de Tarango|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0265|Urbano|01
01610|Profesor J. Arturo López Martínez|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|2639|Urbano|01
01618|Arcos Centenario|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0267|Urbano|01
01618|Ex-Hacienda de Tarango|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|2745|Urbano|01
01619|La Martinica|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0268|Urbano|01
01619|Rinconada de Tarango|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0269|Urbano|01
01620|Lomas de Tarango|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0270|Urbano|01
01630|Lomas de Puerta Grande|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0271|Urbano|01
01630|Puerta Grande|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0273|Urbano|01
01630|Los Juristas|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|2640|Urbano|01
01640|Herón Proal|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0275|Urbano|01
01645|Ponciano Arriaga|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0276|Urbano|01
01650|La Milagrosa|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0277|Urbano|01
01650|Palmas Axotitla|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0278|Urbano|01
01650|Tlacuitlapa|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0279|Urbano|01
01650|Ampliación Tlacuitlapa|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0280|Urbano|01
01650|2o Reacomodo Tlacuitlapa|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|0281|Urbano|01
01650|El Ruedo|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|2844|Urbano|01
01650|Santa Lucía Chantepec|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01401|09|01401||09|010|2848|Urbano|01
01700|La Joyita del Pueblo Tetelpan|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0282|Urbano|01
01700|Ocotillos del Pueblo Tetelpan|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0283|Urbano|01
01700|San Agustín del Pueblo Tetelpan|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0284|Urbano|01
01700|2a Del Moral del Pueblo Tetelpan|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0285|Urbano|01
01700|Tecalcapa del Pueblo Tetelpan|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0286|Urbano|01
01700|Tetelpan|Pueblo|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||28|010|0287|Urbano|01
01708|El Encino del Pueblo Tetelpan|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0291|Urbano|01
01708|El Mirador del Pueblo Tetelpan|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0292|Urbano|01
01710|Las Águilas|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0294|Urbano|01
01710|Ampliación Alpes|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0295|Urbano|01
01720|Lomas de Guadalupe|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0297|Urbano|01
01729|Alcantarilla|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0298|Urbano|01
01730|Lomas de las Águilas|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0299|Urbano|01
01730|Puente Colorado|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0300|Urbano|01
01740|La Peñita del Pueblo Tetelpan|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0303|Urbano|01
01740|San Clemente Norte|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0304|Urbano|01
01740|San Clemente Sur|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|2842|Urbano|01
01750|Las Águilas 1a Sección|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0305|Urbano|01
01750|Las Águilas 2o Parque|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0306|Urbano|01
01750|Las Águilas 3er. Parque|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0307|Urbano|01
01759|Ampliación Las Águilas|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0308|Urbano|01
01760|Atlamaya|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0309|Urbano|01
01760|Flor de María|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0310|Urbano|01
01760|La Herradura del Pueblo Tetelpan|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0311|Urbano|01
01770|La Angostura|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0315|Urbano|01
01770|San José del Olivar|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0316|Urbano|01
01780|Olivar de los Padres|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0318|Urbano|01
01780|Tizampampano del Pueblo Tetelpan|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0319|Urbano|01
01789|Miguel Hidalgo|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0323|Urbano|01
01790|Lomas de los Ángeles del Pueblo Tetelpan|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0324|Urbano|01
01790|Lomas de San Ángel Inn|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0325|Urbano|01
